preprocessed_review,sentiment
pay spent week august resort planned trip got heck deal toronto bus ride airport resort take hr minute think maybe departure tax pay help improve country roadway coach bus comfortablecheck sirenis cocatal tropical suite cocatal share large lobbywe previously stayed time iberostar bavaro admit spoiled sirenis opinion star best feel iberostar true plus star resort imho resort use use work ground long pond line walkway lobby pool beach need painting especially cleaning really smelledanother disappointing thing cerveza mini fridge room important yearold pass pm nice beer deck ended buy beer small beach bar problem weekend bus load santo domingo come weekend package pool swim bar crazy crowded nutsplastic cup pool nothing local staff better job policing rowdy kid folkswe great room oceanpool view close beach pool nice room day really upset building room room service tried charge usd bottle rum got store guy kept lowering price got really po told leave time asked price dollar board far conversion felt trying advantagefood ok nothing special buffet airconditioned specialty restaurant lobby actually small room seating directly buffet pool buffet converted specialty restaurant night difficult reservation let make time ridiculous weather week bad thing asked return big nofeel free email question link picturesin closing said spoiled iberostar sirenisyou pay sure heck beat heck summer weather upstate new york,-1
average place average stay stayed hotel night close galleria mall met friend day soon opened door executive member floor smelled mildew carpet damp obvious water damage room asked change room night decided stay paid room used holiday inn point complained located highway nt notice noise basic nofrills holiday inn,-1
recommend staying staff routinely indifferent point rude parking arrangement public garage hill corner remarkably inconvenient mobility issue parking hotel challenging maneuver room adequate maintained cleaned particularly hotel bad easily better seattle definitely,-1
want stay beirut recently stayed vincci condal mar wedding group say upgraded beautiful room complain little disappointed service received hotel resident bar closed pm evening likely waiting occasion minute bar person arrive pour drink second day hand bag stolen right outside hotel door reception staff proceeded direction police station statement help allthe location hotel brutal like middle wartorn poverty stricken hell hole little amenity hand advise benifit stay,-1
terrible experience stayed hampton inn suite terrible experience staff extremely unfriendly room nt cleaned couple day breakfast horrific used travel quite lot internationally really picky particular place stay really ruined stay boston informed manager complaint nt respons day checked staff discriminating,-1
missing hotel worth visiting room service provided day towel left room phone work hotel tried overcharge include extra fee including electricity fee day,0
star nightmare stayed hotel boston ranging star say stay hojo fenway stay terrible hotel heater pumping room relief window opened bed double queensize paid told desk supposed getthe worst far tried finally sleep loud obnoxious party hall night called time desk time security final time went downstairs pj tell nt taken care star security standing walkie talkie party continued door wide opened finally stated willing switch room morning packed stuff room nd room smelled like died luckily heater nt broken odor horrible decided make best clearly telling apathetic staff hotel wrong waste energy morning spoke manager told awful experience told wanted party hall keeping hour night small bed broken air room stayed star motelhotel instead opted pay hundred dollar stay star hotel night mention taking comping stay offer free upgrade free breakfast time stayed fairmont copley plaza course happen save hundred dollar spend joke star,-1
checkout fast drove unappealing alley hotel taxi driver difficulty finding room extremely small leaving little room luggage bed worn carpeted floor littered dirt tiled bathroom floor dirty slimy demanded taken room described vip room vip room slighlty larger room containing king bed queen bed room offered spectacular view rear local bar warehouse foot away approximate foot window adjoining building stacked crate beer bottle used unopened guess thats local flavor girlfriend miserable night took ride visit friend staying nearby howard johnson paragon hotel went desk offered shown wonderful executive floor room floor including admission executive lounge breakfast executive lounge atrium restaurant internet cost total approximately usd night following morning fled day inn checked paragon truly wonderful stay total price including breakfast paid day inn advantage day inn clost walk forbidden city taxi fare incredibly cheap beijing china dont think staying day inn dont rely tripadvisor rating unreliable hotel,0
['disguisting arrived punta cana dominican republic week looking well forward going occidental dissapointed arrived room filthy smelt disguisting later smell bug bed dirty bathroom black mould wet pool dirt bird mess garden overgrown english stay ground floor inch gap door wet kitchen towel throw floor stop bug coming masking tape patio door inch gap window glass plastic door lock food syrup fried egg american taste hotel disguisting life ended pay transferred gran bahia principe pay released extra say hotel box amazing went bahia principe back north year standard amazing expected good occidental compare result ended bahia principe resort add couple moved time occidental room ceiling dropped moved hotel room twice decided hotel word advice book official hotel amazing occidental'],-1
good service aware hotel haunted till checked stayed night personal experience felt seen ghost slept peacefully story abound ghost guest book reception account service hotel warm cordial historic hotel antique elevator switch button painting celebrity guestroom weird experience knock door taking bath deadbolted room knock persistent opened door body benefit doubt mistaken knock neighbouring room door lingering feeling knock quite clear mistaken paul watson,-1
disappointing returned night stay alexandra booked easyjet honestly state hugely disappointed star rating attributed hotel humble opinion hotel way establishment booked junior suite suite suite th floor accessed claustrophobic lift experienced suite overlooked yard littered rubbish suite shabby light room dark oppressive complained moved suite building slight improvement fowl smell eventually identified coming toilet morning woke plume dust hanging heavily air bed presume came renovation carried lobby area nt told easyjet added desolate appearance place complained moved junior suite balcony booked easyjet improvement way apology complimentary bowl fruit sent room staff courteous place nothing way luxury towel worn grey time ate restaurant people eating add tale woe daughter actually spotted green mold breakfast roll fortunately eating,-1
okay hotel commonwealth decent place convenient fenway park view freeway disappointment decor little weird,-1
['worst jw marriott stayed st glance jw marriott like hidden gem miami downtown hotel nd glance poorly run franchise hotel bad staff faulty maintanance issuesi checked wednesday march st night stay arrived airport pm immediately called hotel let know coming told wanted order room no service got ready arrived lady phone hold said to confirm order dinner menu pm hold minute came phone called time thing finally spoke night manager girl named florencia best person work took order beginning horror experienced checked room concierge closed floor room numerous maintenance problem tv volume control work in air conditioner strange noise curtain falling offi got know engineer tripthe day spoke general manager named florencia told happened nt offer room tried say upgrade stayed suite night nt believe minute arguing agreed comp previous night mean discussion ridiculous talk anyways literally got sleep night viewing new room proceeded fall asleep original room dead tired got phone pm desk manager told hotel sold soooo tired told stay original room tired said okay got went eat came pm room time line phone nt work came engineer tried hour fix phone luck woke little hungry called room service cereal milk kicker died ca nt drink milk stomach problem told order taker like skim milk said time think waiter brings room service milk course kicker tried tell minute milk brought skim believed looked ultra carefully mind determined finally screamed skim milk said oh skim milk looked shook head disgust summed stay horrible excuse marriott line decides stay need aware staff nt speak good english service button handle department ask let say desk extension lastly general manager property florencia forget worst general manager seen tried asking bos tell corporate office kept saying fially gentleman named mr glass owns hotel tried reach unsuccessfullysorry long review need know experienced horrible hotel told gm post review trip advisor care maybe people nt stay'],-1
bad service smiling nt trust anybody travell frecuenly worst experiencies hotelsfirst didnt booking check booked web site ad reception meaning recive best smile pleasant day ibis fact umpleseant argue reception manager said wasnt check list finally course didnt recive apologise thatafter saw dont usual baggage storage check flight afternoon ready baggage hole day pay small locker backpacker large hotel company room backpaker furnished picture table nothing bealive white wall bedbut worst experience check ibis great business credit card deposit day check security case stole bed theare nothing room course wrote complaint month dont answer ibislast time ibis course,-1
['solid rating stayed waikiki resort hotel week february major minor problem paper rate pay hotel share positive negative going waikiki traveling budget likely place hotel clean staff generally friendly room cleaned daily sleeping acceptable view blocked adjacent building portion beach surf th floor room elevator lit consistently light fast slow fast slowon negative parking night typical area look luxury feature said painting wallpaper pieces noticeably patched place furnishing dated drawer broken slide drawer fall opened ac vent ultra dusty functioning tub dinky small believe review reviewer say pay movie messed place started middle upsetting number call went got billed personally heard comptuer full speaker sprint hotel tested destination modem remove bad billc little unseen hidden charge dollar plus worth guessi rate star exactly ok problem probably look'],-1
worst holiday husband booked week holiday known superclub breeze june usually nt leave negative feedback unless taken long time write review total recovered stay month agothe hotel pleasant staff attentive room nice spacious husband soon ill food maybe bottled water read guest complain day bed felt little better soon nt start feel stomach pain diahorrea returned uk admitted hospital remained ill month doctor unable diagnose problem experienceing stomach problem holiday month later writting hope dicky tummy begin hotel doubt food reviewer said believe cockroach running dinner plate roomi hope review stop experiencing,-1
melia fall short paradise resort beautiful ground maintained groomed pool area nice beach spectacular reason rate resort ok service lack service extremely slow took hour meal ordered food laid vacation service resort push button pay alot money come expect better service language barrier problem different resort far worst people understand problem getting towel shampoo definitely visit area look different resort stay time,-1
